Hello World
Using goldhelp.csv
=======
Kirkliston Primary School,KIRK,10.202.56.70,FS726T, , Kirkliston PS Cab1-1, 00-14-6c-ec-a9-7e
Kirkliston Primary School,KIRK,10.202.56.71,FS750T2, , Kirkliston PS Cab1-2, c0-3f-0e-44-95-8b
Kirkliston Primary School,KIRK,10.202.56.72,FS726T, , Kirkliston PS Cab2, 00-14-6c-eb-a4-c0
=======
Leith Primary School,LEIP,10.227.24.70,FS750T2, Leith PS , Main Cab , 00-22-3f-de-0a-ab
Leith Primary School,LEIP,10.227.24.71,FS750T2,, computer suite, 10-0d-7f-b2-a7-45
=======
Leith Walk Primary School,LEIW,10.254.20.70,FS726T, Leith Walk PS, Main Cab, 00-24-b2-5e-fd-fc
Leith Walk Primary School,LEIW,10.254.20.71,FS750T2, Leith Walk PS, Main Cab, 00-22-3f-de-09-b9
=======
Liberton Primary School,LIBE,10.211.40.70,FS750T2, Liberton Prim cab1, cab 1, 4c-60-de-68-bd-c2
Liberton Primary School,LIBE,10.211.40.71,FS726T, , Liberton PS 2, 00-18-4d-2e-25-d1
Liberton Primary School,LIBE,10.211.40.72,FS750T2, , Liberton ICT Suite, 00-22-3f-ea-b1-88
Liberton Primary School,LIBE,10.211.40.73,FS750T2, liberton ps cab 2, liberton ps, 4c-60-de-68-bd-ba
Liberton Primary School,LIBE,10.211.40.74,FS726T, liberton primary, inch park, 00-24-b2-5e-fd-71
=======
=======
Longstone Primary School,LONG,10.252.8.70,FS726T, Longstone_PS_01, Technology Cupboard, 00-18-4d-2e-21-1c
Longstone Primary School,LONG,10.252.8.71,FS750T2, Longstone_PS_02, Technology Cupboard, e0-91-f5-20-f4-3d
Longstone Primary School,LONG,10.252.8.72,FS726T, Longstone_PS_03, Nursery, 00-18-4d-3a-62-74
=======
Lorne Primary School,LORN,10.227.28.70,Unknown,Unknown,Unknown,Unknown
=======
Murrayburn Primary School,MURR,10.203.48.70,GS724T,Unknown,Unknown,Unknown
Murrayburn Primary School,MURR,10.203.48.71,FS750T2, Murrayburn PS, Main Cab, 00-1e-2a-cd-6d-62
=======
Nether Currie Primary School,NETH,10.203.52.70,FS726T, Nether Currie PS, Main Cab 1_1, 00-24-b2-5e-fd-ba
Nether Currie Primary School,NETH,10.203.52.71,FS726T, Nether Currie PS, Main Cab 1_2, 00-24-b2-5e-fd-c2
Nether Currie Primary School,NETH,10.203.52.72,FS726T, Nether Currie PS, Main Cab 1_3, 00-24-b2-5e-fd-bb
Nether Currie Primary School,NETH,10.203.52.73,FS726T, Nether Currie PS, Cab 2_1, 00-24-b2-5e-fd-b2
=======
Newcraighall Primary School,NEWC,10.226.28.70,FS750T2, Newcraighall PS, Main Cab, 00-22-3f-de-09-a5
=======
Niddrie Mill Primary School,NIDD,10.226.32.70,GS724T,Unknown,Unknown,Unknown
Niddrie Mill Primary School,NIDD,10.226.32.71,FS726T, NM_Main_02, Main Comms Cab, 00-14-6c-ea-c1-2b
Niddrie Mill Primary School,NIDD,10.226.32.72,FS750T2, NM_Ground_01, Niddrie Mills Ground, 00-1e-2a-39-bd-f0
Niddrie Mill Primary School,NIDD,10.226.32.73,FS726T, NM_Ground_02, Niddrie Mills Ground, 00-14-6c-ea-c1-2a
Niddrie Mill Primary School,NIDD,10.226.32.74,FS750T2, niddrie mills prima, ist floor comms cab, 10-0d-7f-b2-cd-25
Niddrie Mill Primary School,NIDD,10.226.32.75,FS750T2, NM_First_02, NM First Floor Cab, 00-1e-2a-39-bd-d3
Niddrie Mill Primary School,NIDD,10.226.32.76,FS750T2, NM_First_03, NM First Floor Cab, 00-1e-2a-39-bd-fa
Niddrie Mill Primary School,NIDD,10.226.32.77,FS750T2, NM_Second_01, NM Second Floor, 00-1e-2a-39-bd-f6
=======
Oxgangs Primary School,OXGA,10.209.32.70,FS726T, Oxgangs PS, Main Cab 1_1, 00-24-b2-5e-fc-ec
Oxgangs Primary School,OXGA,10.209.32.71,FS726T, Oxgangs PS, Main Cab 1_2, 00-24-b2-5e-fc-ed
Oxgangs Primary School,OXGA,10.209.32.72,FS726T, Oxgangs PS, Main Cab 1_3, 00-24-b2-5e-fc-ee
=======
Parson's Green Primary School,PARS,10.225.24.70,GS724T,Unknown,Unknown,Unknown
Parson's Green Primary School,PARS,10.225.24.71,FS726T, Parsons_Green_PS, Main_Cab_1_2, 00-24-b2-5e-fd-b9
Parson's Green Primary School,PARS,10.225.24.72,FS726T, Parsons_Green_PS, Main_Cab_1-3, 00-24-b2-5e-fd-b7
Parson's Green Primary School,PARS,10.225.24.73,FS726T, Pasrons_Green_PS, Nursery, 00-24-b2-5e-fd-15
=======
=======
Pirniehall Primary School,PIRN,10.217.68.70,FS726T, , Pirniehall Primary 1, 00-14-6c-eb-a5-25
Pirniehall Primary School,PIRN,10.217.68.71,FS750T2, , Pirnihall Main Cab, e0-91-f5-1f-74-16
=======
Preston Street Primary School,PRES,10.220.16.70,FS726T, Preston St PS, Main Cab 1, 00-24-b2-5e-fd-bc
Preston Street Primary School,PRES,10.220.16.71,FS726T, Preston St PS, Main Cab 2, 00-24-b2-5e-fd-b3
Preston Street Primary School,PRES,10.220.16.72,FS726T, Preston St PS, Main Cab 3, 00-24-b2-5e-fd-c1
=======
Prestonfield Primary School,PREF,10.220.20.70,FS726T, Prestonfield PS, Main Cab, 00-24-b2-5e-fc-da
Prestonfield Primary School,PREF,10.220.20.71,FS726T, Prestonfield PS, Main Cab, 00-24-b2-5e-fd-c6
=======
Queensferry Primary School,QUEE,10.218.36.70,GS724T,Unknown,Unknown,Unknown
Queensferry Primary School,QUEE,10.218.36.71,FS726T, Queensferry PS 2, Main Cab 1_2, 00-24-b2-5e-fd-b4
Queensferry Primary School,QUEE,10.218.36.72,FS726T, Queensferry PS 3, Cab 2_2, 00-24-b2-5e-fd-74
Queensferry Primary School,QUEE,10.218.36.73,FS726T, Queensferry PS 4, Cab 2_1, 00-24-b2-5e-fd-73
Queensferry Primary School,QUEE,10.218.36.74,FS726T, Queensferry PS 5, Nursery, 00-24-b2-5e-fd-13
=======
Ratho Primary School,RATH,10.202.60.70,FS726T, Ratho PS, Main Cab 1_1, 00-24-b2-5e-fd-14
Ratho Primary School,RATH,10.202.60.71,FS726T, Ratho PS, Main Cab 1_2, 00-24-b2-5e-fc-dc
Ratho Primary School,RATH,10.202.60.72,FS726T, Ratho PS, Nursery, 00-24-b2-5e-fc-db
=======
Roseburn Primary School,ROSE,10.201.36.70,FS726T, Roseburn Primary 1, Roseburn Primary 1, 00-14-6c-eb-a4-b0
Roseburn Primary School,ROSE,10.201.36.71,FS726T, Roseburn Primary 2, Roseburn Primary 2, 00-18-4d-d3-a3-64
=======
Royal Mile Primary School,ROYM,10.254.24.70,GS724T,Unknown,Unknown,Unknown
Royal Mile Primary School,ROYM,10.254.24.71,FS726T, Royal Mile PS, Main Cab 1_2, 00-24-b2-5e-fd-72
Royal Mile Primary School,ROYM,10.254.24.72,FS726T, Royal Mile PS, Main Cab 1_3, 00-24-b2-5e-fd-70
Royal Mile Primary School,ROYM,10.254.24.73,FS726T, Royal Mile PS, Nursery, 00-24-b2-5e-fd-78
=======
=======
Sciennes Primary School,SCIE,10.220.24.70,FS750T2, sciennes primary, sciennes, 84-1b-5e-91-81-60
Sciennes Primary School,SCIE,10.220.24.71,FS726T, Sciennes PS, Main Cab 1_2, 00-24-b2-5e-fd-b6
Sciennes Primary School,SCIE,10.220.24.72,FS750T2, Sciennes PS, ICT Suite, e0-91-f5-20-f3-e0
Sciennes Primary School,SCIE,10.220.24.73,FS726T, Sciennes_Annexe_01, Sciennes Annexe, 00-24-b2-5e-fd-c0
=======
Sighthill Primary School,SIGH,10.203.60.70,FS750T2,, sighthil, 4c-60-de-65-a0-d9
Sighthill Primary School,SIGH,10.203.60.71,FS726T, , Sighthill Primary 2, 00-18-4d-2d-20-90
=======
South Morningside Primary School,SOUT,10.212.16.70,FS750T2,, Sth Morningside PS 1, 00-22-3f-de-09-a8
South Morningside Primary School,SOUT,10.212.16.71,FS750T2, Sth Morningside PS, Sth Morningside PS 2, 00-14-6c-c3-a2-3f
South Morningside Primary School,SOUT,10.212.16.72,FS726T, Sth Morningside PS 2, Janitors House, 00-1f-33-ff-62-62
=======
St Catherine's RC Primary School,STCA,10.211.48.70,FS726T, , St Catherine"s RC1-1, 00-14-6c-ea-c1-3e
St Catherine's RC Primary School,STCA,10.211.48.71,FS726T, , St Catherine"s RC1-2, 00-14-6c-ea-c1-3f
=======
St Cuthbert's RC Primary School,STCU,10.252.12.70,FS726T, St Cuthberts Gb Sw, Main Cab 1_1, 00-18-4d-30-28-a4
St Cuthbert's RC Primary School,STCU,10.252.12.71,FS750T2, St Cuthberts, Main Cab 1_2, 00-1e-2a-d4-ea-53
St Cuthbert's RC Primary School,STCU,10.252.12.72,FS726T, St Cuthberts , Language Block 1, 00-14-6c-eb-a5-36
=======
St David's RC Primary School,STDA,10.217.72.70,FS726T, , St. Davids RC PS 1, 00-14-6c-eb-a5-37
St David's RC Primary School,STDA,10.217.72.71,FS726T, , St. Davids RC PS 2, 00-14-6c-eb-a5-22
St David's RC Primary School,STDA,10.217.72.73,FS750T2, ST Davids RC , Annexe, 04-a1-51-6d-68-12
=======
St Francis' RC Primary School,STFR,10.225.32.70,Unknown,Unknown,Unknown,Unknown
St Francis' RC Primary School,STFR,10.225.32.71,FS750T2, SF_Ground_01, SF Ground Cab, 00-1e-2a-37-b2-48
St Francis' RC Primary School,STFR,10.225.32.72,FS750T2, SF_Ground_01 , SF Ground Cab IT_HUB, 10-0d-7f-bd-90-86
St Francis' RC Primary School,STFR,10.225.32.73,FS750T2, SF_Ground_03, SF Ground Cab, 00-1e-2a-39-bd-b5
St Francis' RC Primary School,STFR,10.225.32.74,FS750T2, SF_First_01, SF First Floor Cab, 00-1e-2a-39-bd-f7
St Francis' RC Primary School,STFR,10.225.32.75,FS750T2, SF_First_02, SF First Floor Cab, 00-1e-2a-3c-1b-02
St Francis' RC Primary School,STFR,10.225.32.76,FS750T2, SF_Second_01, SF Second Fl CaB, 00-1e-2a-39-bd-b6
=======
St John Vianney Primary School,STJV,10.211.52.70,FS726T, , St John Vianney 1, 00-14-6c-37-a1-f5
St John Vianney Primary School,STJV,10.211.52.71,FS726T, , St John Vianney 2, 00-14-6c-e6-fc-fa
St John Vianney Primary School,STJV,10.211.52.72,FS726T, , St John Vianney 3, 00-14-6c-e6-fc-fd
=======
St John's RC Primary School,STJN,10.226.40.70,GS724T,Unknown,Unknown,Unknown
